idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
33481,"Meskens, Stephan",1888,½-½,9679,"Van De Wynkele, Rudy",1883
25153,"Kryvolapov, Konstiantyn",2355,1-0,92479,"Robert, Pierre",2055
12277,"Hoffmann, Max",2095,0-1,12424,"De Wachter, Matthias",2313
34525,"Mangelschots, Peter",2070,½-½,25186,"Thiteca, Thierry",2069
72435,"Demoulin, Joachim",2049,½-½,11343,"Verhasselt, Karsten",2024
23981,"Van Der Fraenen, Joep",2033,0-1,17420,"Vos, Rik",1969
85375,"Vanmuylder, Dany",1965,0-1,52469,"Vercammen, Robert",1947
25157,"Kryvolapova, Olena",1941,½-½,60319,"Czuczai, Jeno",1945
50571,"Jacobs, Antoine",1893,1-0,13315,"Deweerdt, Jan",1968
11118,"Roos, Adrian",2257,1-0,34738,"Boucquet, Emile",2207
51764,"Verduyn, Frederic",2132,0-1,14078,"Dreelinck, Adriaan",2172
14086,"Dreelinck, Jacob",2096,1-0,40461,"De Vogelaere, Robin",2114
20141,"Vandendriessche, Jan",2111,½-½,4936,"Ghyselen, Wouter",2113
11789,"Roos, David",2089,½-½,14068,"Nemegeer, Arne",2093
31518,"Barbier, Astrid",1906,1-0,23841,"Colin, Peter",1973
25933,"De Weird, Matthias",1999,½-½,85081,"Barzeele, Raf",1865
16017,"Meysman, Kaito",1814,1-0,10045,"Van Parys, Nikita",1806
56740,"De Vos, Nils",2278,½-½,12885,"Kalle, Erwin",1977
28240,"De Smedt, Mark",1974,0-1,13488,"Schroer, Marcel",2122
21814,"De Weerd, Jan",2072,1-0,12370,"Osinga, Angelique",1935
51195,"De Hert, Oliver",1919,0-1,27200,"Ercan, Selman",2026
14273,"Surmont, Yves",1868,1-0,14341,"Van Der Graaf, André",1879
98402,"Geylen, Leo",1610,1-0,50069,"Leyssens, Bas",1835
49069,"Docx, Stefan",2449,1-0,8834,"Boodts, Jeroen",1921
77151,"Hertecant, Steve",1759,0-1,52507,"Dijkstra, Bart",2088
37796,"Lavrenov, Yuli",2037,½-½,41904,"Londers, Jan",1786
21436,"Veldeman, Sieben",1764,0-1,20818,"Logie, Dimitri",2014
3131,"Engelen, Joseph",2018,1-0,17445,"Pauwels, Fons",1502
4049,"Vangeel, Didier",1629,½-½,15041,"Schrickx, Frank",1857
10397,"Lee, Deon",2127,1-0,12467,"Dijckmans, Bjorn",2181
45284,"Kegels, Pascal",2082,1-0,42153,"Dierckens, Sarah",1919
29912,"Cliteur, Olaf",1913,½-½,79324,"Caluwe, Marc",2061
7404,"De Jonghe, Peter",2001,0-1,16085,"Vranckx, Jonas",1849
26591,"Melaerts, Vincent",0,1-0,29149,"Verwimp, Gery",1965
19704,"Van Landeghem, Peter",1933,1-0,42871,"De Winter, Kevin",1707
10421,"Schrevens, Birger",2149,½-½,26824,"Schoemans, Roy",2259
10785,"Van Kessel, Wessel",2154,½-½,22471,"Van Ael, Bert",1933
10561,"Van Aken, Koen",1919,½-½,11483,"Schenning, Albert",2014
24548,"Jashchenko, Vladimir",2005,1-0,93637,"Schurins, Thomas",1850
9342,"De Bouver, Guido",1773,0-1,22721,"Geboers, Jimmy",1874
13290,"Ooms, Bram",1374,½-½,19897,"Ghisa, Alexander",1509
39063,"Schalkx, Johnny",2124,½-½,30970,"Schittekat, Bart",2106
45357,"Ongena, Niels",2030,0-1,20745,"Krygelmans, Johan",2056
80985,"Versporten, Wim",1970,½-½,26611,"Verbeeren, Peter",1966
33014,"Van Der Stricht, Jan",1879,½-½,35491,"Mauquoy, Alain",1951
35564,"Van Hoecke, Luc",1970,1-0,34631,"Elsen, Tijs",1723
25722,"De Blieck, Kasper",0,1-0,22659,"Roels, Frederik",1842
28533,"Boons, Patrick",1994,½-½,22616,"Talon, Alain",2075
26603,"T'Sas, Jan",2011,1-0,11894,"Verschoren, Bram",1975
47414,"Paesschesoone, Stefan",1911,0-1,39462,"Hautekiet, Dries",2027
57169,"Verhulst, Nikolaas",2009,1-0,58335,"Schillemans, Willy",1810
10207,"Verbruggen, Peter",1642,0-1,54771,"De Kaey, Pascal",1943
68861,"Broekmans, Patrik",1802,1-0,52299,"Buytaert, Michael",1594
75655,"Cekro, Ekrem",2369,1-0,90751,"Sneppe, Herman",1936
83089,"Hock, Diego",1830,0-1,70653,"Le Quang, Kim",2282
95702,"Lipman, Peter",2023,1-0,17817,"De True, Toon",1823
42161,"Courteyn, Patrick",1901,1-0,15631,"Aguilar, Luciano",1932
22648,"Toledo, Hillel",1772,1-0,19135,"Flamee, Dirk",1610
17726,"Mohanadnoori, Aymen",1525,0-1,18882,"Perez-Derozier, Nicolas",1652
48241,"Noseda, Jean-Michel",2048,1-0 FF,17296,"Maltier, Benjamin",2074
12806,"Godry, Adelin",2042,½-½,72516,"Tannemaat, Stéphane",2019
75558,"Ahmetaj, Rasim",1937,1-0,82376,"Denivet, Axel",1880
16714,"Vertenoeil, Tom",1807,½-½,40924,"Grodent, Gérald",1875
92312,"Macai, Ioan",1813,0-1,57959,"Pegoretti, Franco",1841
65153,"Dewinck, Bernard",1665,0-1,16456,"Dumoulin, Michel",1613
20621,"Vanderwaeren, Serge",2074,0-1,34380,"Gregoir, Christophe",2252
