idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
47155,"Bosmans, Mark",1506,0-1,54917,"Verlinden, Patrick",1600
25611,"Chorosinski, Daniel",0,½-½,24950,"De Corel, Otis",0
25728,"Deflem, Stig",0,1-0,27260,"Van Hoof, Wilfried",1629
24867,"Van Orden, Danny",1349,0-1,98797,"De Swert, Heidi",1407
11611,"Lauwers, Rudi",1395,½-½,50295,"Van Dosselaer, Mattias",1397
13172,"Verbruggen, David",1238,0-1,32221,"Vancoppenolle, Ghislain",1395
53180,"Durieux, Frank",1361,0-1,27019,"Van Vosselen, Cedric",0
13618,"Kumpen, Kurt",1498,0-1,1848,"Dooms, Stefan",1906
13421,"Bedert, Bernard",1551,1-0,20487,"Pribylla, Amélia",1302
21037,"Schijns, Matz",1276,0-1,23045,"Ausloos, Ruben",1436
23863,"Franssens, Dario",1251,0-1,19839,"Steeno, Matz",1206
14530,"Snyers, Antoine",1640,1-0,29301,"Grillmaier, Philippe",1867
26039,"Vincken, Dimaryk",1712,0-1,11995,"Hendrickx, Wim",1500
73393,"Oostenbach, Ronny",1436,0-1,26081,"Nijs, Lucas",0
26075,"Wéry, Jean-Luc",0,0-1,21290,"Luxem, Kim",1373
19884,"Jacques, Maxime",0,0-1,97802,"Scheen, Pascal",1317
23839,"Frenzel, Qorianka",1192,1-0,26517,"Laureyn, Nicolas",0
26973,"Rienckens, Romain",0,1-0,27373,"Tokoglu, Ata Can",0
18699,"Wertz, William",0,0-1,27387,"Hauregard, Basile",0
19242,"Lecocq, Arthur",0,1-0,43885,"Venken, Kenneth",1761
43214,"Segers, Jan",1631,0-1,23764,"Van Lochem, David",1355
15462,"Louppe, Patrice",1334,0-1,29351,"Schols, Geri",1581
12268,"Corstjens, André",1251,1-0,26961,"Boitte, Julien",0
53881,"Renkens, Stef",1600,1-0,63274,"Fox, Pierre",1657
26470,"Walrant, Toan",0,1-0,15584,"Beddegenoodts, Marc",1196
10882,"De Keyser, Eric",1150,0-1,25644,"Martin, Julien",0
27136,"Marion, Luca",0,0-1,21584,"Sallahi, Floid",0
21597,"Morard, Basile",1324,0-1,70378,"Sauvage, Eric",1965
81833,"Morgenthal, Renaud",1427,0-1,23310,"Georges, Simon",1206
83411,"Pollet, Charles",1186,1-0,63762,"Pitz, Luc",1378
83224,"Marchal, Georges",1280,½-½,22363,"Pollet, Maxime",1147
45900,"Vandekerckhove, Ava",1697,½-½,11876,"Claeys, Robin",1770
11462,"Jalalijam, Amir",1423,1-0,25170,"Van Der Paelt, Thomas",0
47376,"Verselder, Franky",1420,1-0,12160,"Langie, Jeroen",1460
10306,"Claeys, Elisabeth",1448,1-0,19865,"Kindts, Christelle",876
21460,"Steijn, Sjaak",1767,1-0,17122,"Vertongen, Jack",1350
16208,"Vagenende, Lars",1191,0-1,53449,"Van Steenkiste, Luc",1717
21857,"Dhuyvetter, Koen",1716,0-1,16261,"Coorevits, Arthur",1151
23853,"Duthoi, Mattijs",0,0-1,16971,"Karlioglu, Boran",1704
23901,"Declerck, Darrin",0,1-0,5789,"Van Hamme, Remco",1566
40061,"Vander Zwalmen, Miranda",1521,0-1,21109,"Ip, Tobias",1325
21144,"Coolens, Briek",0,0-1,18048,"Van Den Berghe, Bart",1554
22014,"Ingelbert, Wout",1294,1-0,25559,"De Feyter, Aaron",0
26948,"De Vogelaere, Bart",1706,½-½,50504,"Vanlooy, Noel",1708
8397,"D'Hooge, Frank",1667,1-0,23012,"Flikweert, Henry",1638
23150,"Declercq De Caigny, Finn",1419,1-0,13905,"Ruyssinck, Joeri",1531
27346,"Hooft, Lucas",0,1-0,23708,"Liveyns, Antje",955
23375,"Wilmotte, Frederik",1410,1-0,19833,"Burssens, Guy",1401
25374,"Vanthournout, Arnaud",0,1-0,15524,"Decraene, Merlijn",1273
26825,"Wilmotte, Ward",0,½-½,22074,"Claproth, Mels",0
19427,"Beuseling, Oskar",0,0-1,21147,"De Roeck, Sean",0
2518,"Ponnet, Dirk",1715,½-½,26654,"Willems, Chris",1801
14564,"Debucke, Ruben",1242,1-0,28762,"Schröer, Charlotte",1595
20055,"Van Lierde, Carl",1506,1-0,22071,"De Scheemacker, Peter",1318
17792,"Meynen, Mathisse",0,1-0,23307,"Volckaert, Jesse",0
25207,"Wuyts, Seppe",0,1-0,23368,"De Vooght, Jamie",1634
98783,"Devis, Wim",1616,1-0,12602,"Van Daele, Dave",1389
23435,"Zjuravlyov, Maximilian",0,1-0,2925,"Van Landeghem, Gunther",1429
23387,"Sips, Arno",1437,1-0,25225,"Seresia, Nathan",0
53252,"Roels, Arne",1544,½-½,15632,"Brys, Yves",1426
62316,"De Vriendt, Augustin",1361,0-1,44563,"Tuytens, Ivo",1635
23918,"Dreezen, Thomas",1528,0-1,23725,"Van Uytvange, Jonas",1413
15620,"Brys, Kristof",1277,1-0,23329,"Hanssen, Paul",1522
15683,"Chu, Waishing",1569,1-0,48313,"Vanstraelen, Geert",1864
48984,"Blommaert, Robin",1643,1-0,14303,"Vander Voort, Patrick",1425
21499,"Chhawchharia, Kahaan",1027,0-1 FF,15695,"Verrijdt, Willem",1765
20037,"De Maeyer, Kurt",1505,1-0 FF,24817,"Chen, Rongqi",0
21017,"Peeters, Stefan",0,0-1,25774,"Kembhavi, Vihaan",1280
26594,"Parikh, Aditya",0,0-1,16559,"Peeters, Yumi",1224
19773,"Londers, Tuur",1332,1-0,24312,"Kumar, Akil Ganesh",0
26479,"Amadi, Iegor",0,0-1,17594,"Peeters, Paul",1150
14577,"Oloeriu, Calin",1687,½-½,26795,"Vaerendonck, Jesse",0
12955,"Covents, Maarten",1442,1-0,15125,"Oloeriu, Bogdan Marian",1316
17164,"Vandermeersch, Victor",1237,1-0,24656,"Guven, Furkan",0
26806,"De Landtsheer, Nils-Oscar",0,1-0,16812,"Oloeriu, Cezar",1150
16181,"Dorcas, Carlos",1672,½-½,47741,"Van Den Heuvel, Philip",1516
12187,"De Smet, Ruben",1255,1-0,52710,"De Vriendt, Gilbert",1648
23512,"De Coninck, Rune",1498,1-0,13427,"D'Heer, Matthias",1169
26968,"Haazen, Patrick",0,½-½,15767,"Van Hove, David",1353
26304,"Bodnar, Milan",0,0-1,26501,"Vasylchenko, Maksym",1435
24522,"Ben Yahmed, Amine",0,½-½,24289,"Sanchez Pes, Pablo",1125
24681,"Ramon, Gabriel",0,1-0,26382,"Koteki, Parthena Rengina",0
24264,"Qu, Fei",0,1-0,24636,"Sanchez Pes, Enrique",0
34533,"De Vet, Sylvin",1544,½-½,23765,"Vandevelde, Aron",1225
26940,"Van Beurden, Hanne",0,0-1,17988,"Raeymaekers, Timon",1251
26457,"Biçakçi, Yigit",0,1-0,26426,"Florizoone, Oskar Andrés",0
24944,"Schoors, Toon",0,1-0,24896,"Grossen, Jelle",1086
28878,"Caramalau, Adina",1629,½-½,99178,"Debelie, Geert",1624
19889,"Ghisa, Robert",1242,½-½,10204,"Lequesne, Annie",1331
19687,"Wittevrouw, Tom",1355,½-½,12640,"Verschueren, Dirk",1289
54356,"Borbas, Gabor",1299,1-0,19644,"Sarens, Leon",1205
97721,"Lacroix, Bruno",2139,1-0,35891,"Inghelbrecht, Veronique",1447
3794,"Van Den Abeele, Veerle",1368,0-1,43036,"Jourdain, Jean-François",1897
24690,"Corluy, Gregoire",1759,1-0,32557,"Klijsen, Yvonne",1236
16100,"De Caluwé, Gerard",1172,0-1,12208,"Servais, Frédéric",1741
78697,"Frederiksen, Jens",1557,0-1,26770,"Pollaris, Arnaud",0
26880,"Silva, Federico",0,0-1,75671,"Peeters, Simonne",1570
26061,"Elbarbari, Mahmoud",0,½-½,16981,"Boshra, Sosanna",1367
24810,"Tersmette, Alexander",0,½-½,26927,"Bonfils, Liam",0
18148,"Liman, Âlim",1574,½-½,14766,"Palazoski, Elvir",1557
87611,"Nica, Radu-Catalin",1497,0-1,25727,"Willocx Vandeven, Bob",0
26885,"Bolhov, Ivan",0,0-1,19568,"Ahmet, Gabriel",1342
19571,"Ahmet, Aylin",1054,0-1,26622,"Thielemans, Alexandr",0
94561,"Tossens, Alain",1730,1-0,97504,"Mangini, Giovanni",1662
23295,"Foucart, Olivier",1301,0-1,27048,"Anthonissens, Thibault",0
23227,"Wery, Vincent",0,0-1,98654,"Druart, Christophe",1189
79065,"Leroy, Sylvain",1182,1-0,21360,"George, Lucas",0
11266,"Geussens, Patrick",1474,1-0,95826,"Rampelbergh, Wilfrid",1575
24499,"Houzé, Sylvain",1321,½-½,3841,"Van Den Bergh, Luc",1541
25384,"Proost, Benn",0,1-0,98517,"Fervaille, Philippe",1294
26925,"Brusselaers, Xavier",0,0-1,26899,"Toelen, Daan",0
26384,"Vanneste, Damien",0,0-1,60098,"Costa, Serge",1941
61948,"Russo, Bruno",1833,1-0,21535,"Taquet, Gabin",1306
25686,"Hardenne, Esteban",0,0-1,22957,"Letoret, Tim",1551
23285,"Molitor, Milo",1443,1-0,22469,"Swertvaegher, Milan",1306
77381,"Albert, Julien",1712,1-0,97782,"Laret, Jean",1511
60673,"Kellner, Yohan",1468,½-½,99966,"Alary, Philippe",1446
26962,"Vinsous, Roman",0,1-0,60174,"Jamar, Marc",1428
16854,"Alcamisi, Charles",1360,1-0,26971,"Riche, Hugo",0
22992,"Fattorutto, Hugo",1408,0-1,12104,"Lejeune, Raphael",1318
24669,"Romero Flores, Jose Miguel",1249,½-½,25111,"Fourrez, Nicolas",1515
83127,"Wiot, Philippe",1365,1-0,24145,"Dormoy, Adam",0
26775,"Cocomazzi, Mathias",0,0-1,20519,"Beghin, Philippe",1448
84735,"Decellier, Patrick",1727,1-0,23021,"Dehoux, Cédric",1446
63371,"Dejasse, Daniel",1412,½-½,22762,"Jonniaux, Bastien",1654
16858,"Belin, David",1469,1-0,17756,"Callewaert, Damien",1412
23997,"Dehoux, Frédéric",1232,½-½,27198,"Blois, Dominique",1302
